,in_morning_ave,out_morning_ave,in_evening_ave,out_evening_ave,morning_ior,evening_ior,in_weekday_ave,out_weekday_ave,in_weekend_ave,out_weekend_ave,weekday_ior,weekend_ior,weekday_ave,weekend_ave,weekdayend_r,total_io
松山機場,275.293333333,403.613333333,350.280952381,203.785714286,-0.189009780431,0.264400020627,6228.28571429,5790.04761905,5064.0,5001.0,0.036464132179,0.00625931445604,6009.16666667,5032.5,0.265358490566,342970.0
中山國中,855.913333333,957.313333333,922.152380952,824.942857143,-0.0559224072004,0.0556406552373,16061.047619,15561.0952381,10802.2222222,10319.7777778,0.0158101993028,0.0228408505087,15811.0714286,10561.0,0.597230836735,854163.0
南京復興,985.22,2985.46,2616.59047619,1385.02380952,-0.503752505868,0.307767460513,35348.5238095,37168.9047619,20516.4444444,21445.4444444,-0.0251026682584,-0.0221391368358,36258.7142857,20980.9444444,0.800726463795,1900523.0
忠孝復興,1052.69333333,2810.02666667,4107.34761905,2466.02380952,-0.454947118438,0.249692844434,47677.4285714,48687.0952381,50770.5555556,51656.5555556,-0.0104775764644,-0.00865005358824,48182.2619048,51213.5555556,-0.0914915857099,2945499.0
大安,816.64,1932.72,1649.95714286,961.438095238,-0.405941746443,0.263659455901,23963.7619048,24095.9047619,15924.2222222,16507.5555556,-0.00274955833671,-0.0179864741714,24029.8333333,16215.8888889,0.582467701881,1301139.0
科技大樓,769.046666667,939.693333333,901.647619048,781.461904762,-0.0998669584996,0.0714069480242,15392.7142857,15149.7619048,10726.6666667,10442.5555556,0.00795457380198,0.0134209518011,15271.2380952,10584.6111111,0.543779507692,831915.0
六張犁,799.646666667,571.026666667,574.533333333,738.004761905,0.166793935827,-0.124546044922,11772.0952381,11534.0,8607.44444444,8314.77777778,0.0102160072575,0.0172948128693,11653.047619,8461.11111111,0.476073081269,641728.0
麟光,430.213333333,167.233333333,130.666666667,323.4,0.440173181428,-0.424460431655,4401.71428571,4027.19047619,4450.11111111,4247.33333333,0.0444332710006,0.0233146390383,4214.45238095,4348.72222222,-0.0470397419738,255284.0
辛亥,317.253333333,80.6733333333,81.0761904762,247.938095238,0.594531655749,-0.507157020248,3182.28571429,2917.52380952,2526.55555556,2383.44444444,0.0434049462903,0.0291468658067,3049.9047619,2455.0,0.324204389159,172286.0
萬芳醫院,1064.67333333,720.613333333,562.466666667,1022.3,0.192719749956,-0.290158382938,14996.2857143,15551.5714286,9576.88888889,9983.44444444,-0.0181775668155,-0.0207846946485,15273.9285714,9780.16666667,0.65782801405,817548.0
萬芳社區,246.933333333,55.32,63.0857142857,170.485714286,0.633949446381,-0.459816513761,2447.0952381,2026.95238095,2040.11111111,1620.77777778,0.0939066574424,0.114544130144,2237.02380952,1830.44444444,0.299876488046,126903.0
木柵,323.306666667,286.746666667,173.904761905,265.814285714,0.0599291865192,-0.209018745736,4493.19047619,4499.80952381,3732.55555556,3750.33333333,-0.000736022197159,-0.00237579069284,4496.5,3741.44444444,0.274967460869,256199.0
動物園,376.76,852.473333333,409.452380952,269.123809524,-0.387000027117,0.206798548782,7902.0952381,8018.04761905,12145.2222222,12841.8888889,-0.00728337565767,-0.0278810408922,7960.07142857,12493.5555556,-0.664940863129,559207.0
大直,503.2,573.133333333,557.176190476,576.452380952,-0.0649736760607,-0.0170039737547,9988.66666667,10067.952381,7131.44444444,7365.55555556,-0.00395309469146,-0.0161489350287,10028.3095238,7248.5,0.482694942022,551662.0
劍南路,400.04,664.76,784.652380952,590.233333333,-0.248610067618,0.14140742434,10252.3809524,10308.2857143,11092.8888889,11433.8888889,-0.00271901504028,-0.0151375400141,10280.3333333,11263.3888889,-0.136892159871,634515.0
西湖,427.64,1681.79333333,1179.25238095,473.957142857,-0.594545138505,0.426621809237,16802.1904762,17513.2380952,5896.55555556,6046.11111111,-0.0207209307489,-0.0125227940903,17157.7142857,5971.33333333,1.45095221428,828108.0
港墘,578.173333333,1260.80666667,997.80952381,591.442857143,-0.371202151918,0.255696748696,15049.3809524,15051.0,7409.11111111,7314.44444444,-5.37882766869e-05,0.00642960637527,15050.1904762,7361.77777778,1.02914825837,764620.0
文德,362.08,285.58,273.7,344.5,0.118117530803,-0.114526043352,5680.19047619,5426.14285714,4238.55555556,4083.66666667,0.0228741215866,0.018611481976,5553.16666667,4161.11111111,0.429899861029,308133.0
內湖,699.76,242.6,293.866666667,665.133333333,0.485122458508,-0.3871393813,8121.04761905,8020.14285714,7472.44444444,6938.22222222,0.00625138288614,0.037071305206,8070.5952381,7205.33333333,0.169926541758,468661.0
大湖公園,302.3,144.933333333,110.938095238,245.504761905,0.351867034359,-0.37752661884,3352.04761905,3196.57142857,3637.66666667,3803.11111111,0.0237418285207,-0.0222348320815,3274.30952381,3720.38888889,-0.191321772045,204488.0
葫洲,640.946666667,338.273333333,305.661904762,607.447619048,0.309096355603,-0.330503303729,8307.0952381,8331.47619048,5935.44444444,5688.33333333,-0.00146532726596,0.0212591048999,8319.28571429,5811.88888889,0.532311763702,454024.0
東湖,721.373333333,257.92,286.385714286,696.438095238,0.473252821763,-0.41721860722,8226.33333333,8344.38095238,6522.0,6531.66666667,-0.00712387028176,-0.000740532672812,8285.35714286,6526.83333333,0.356164163366,465468.0
南港軟體園區,109.18,373.046666667,331.457142857,127.714285714,-0.547183896923,0.44371849916,4381.04761905,4093.33333333,1793.55555556,1772.0,0.0339510682056,0.00604549703958,4237.19047619,1782.77777778,1.22313570182,210052.0
南港展覽館,1922.44,1665.01333333,1408.55238095,1692.78571429,0.0717574955679,-0.0916486125037,29714.4285714,28438.3809524,19666.3333333,17769.2222222,0.0219430089362,0.0506767185088,29076.4047619,18717.7777778,0.650202164805,1558129.0
小碧潭,165.72,76.5733333333,95.2476190476,196.323809524,0.367928681488,-0.346660133921,2188.28571429,2268.80952381,2121.0,2381.11111111,-0.0180664323337,-0.0577753646437,2228.54761905,2251.05555556,-0.0150736140885,134118.0
新店,996.12,520.026666667,486.957142857,793.876190476,0.314015354715,-0.239624500418,12378.952381,10905.1904762,12583.0,11831.2222222,0.0632946599668,0.0307926163256,11642.0714286,12207.1111111,-0.0710766100598,708695.0
新店區公所,1013.06,357.48,353.914285714,971.414285714,0.478337005852,-0.465922197191,11280.5714286,11845.0,9359.0,9427.22222222,-0.0244071188974,-0.00363150299274,11562.7857143,9393.11111111,0.310605833945,654713.0
七張,1230.05333333,603.92,670.242857143,1178.55714286,0.341408090267,-0.274942820053,16161.6190476,15655.047619,13392.5555556,12430.4444444,0.0159215744967,0.0372579139183,15908.3333333,12911.5,0.311955308555,900557.0
大坪林,1264.39333333,1099.67333333,1024.10952381,1275.01904762,0.0696765460647,-0.109132445626,20951.0952381,20418.1904762,15228.2222222,14730.4444444,0.0128816524797,0.0166154850386,20684.6428571,14979.3333333,0.479922050195,1138383.0
景美,1115.24,761.106666667,775.59047619,1170.18571429,0.18873555704,-0.202795799448,16297.5238095,16320.3333333,14804.4444444,14470.1111111,-0.00069929559473,0.0114206117561,16308.9285714,14637.2777778,0.16205386613,948446.0
萬隆,833.753333333,264.773333333,333.585714286,737.595238095,0.517948282245,-0.377162722051,9462.66666667,8915.28571429,8373.33333333,7740.0,0.029784653972,0.0393049234588,9188.97619048,8056.66666667,0.196973148497,530957.0
公館,1051.18666667,1674.35333333,2144.34285714,1603.04285714,-0.228639706872,0.144447367117,28396.1904762,27763.7142857,31812.3333333,30963.0,0.0112620595273,0.0135297303612,28079.952381,31387.6666667,-0.166866321808,1744336.0
台電大樓,882.04,889.766666667,1335.73333333,1322.49047619,-0.00436089716335,0.00498184430348,18655.4761905,18843.7619048,18974.5555556,19134.7777778,-0.00502105439603,-0.00420427775057,18749.6190476,19054.6666667,-0.0242073838945,1130468.0
古亭,1500.34666667,1957.43333333,2054.5,1790.44285714,-0.13219078908,0.0686764804233,32439.8095238,32430.4761905,26246.7777778,25735.1111111,0.000143876864894,0.00984317187396,32435.1428571,25990.9444444,0.330889781106,1830113.0
中正紀念堂,1091.19333333,2275.0,1994.88571429,1193.80952381,-0.351675186016,0.251223817474,29645.3809524,29248.4761905,27447.0,28111.3333333,0.00673932360963,-0.0119574021299,29446.9285714,27779.1666667,0.0874301434244,1736796.0
小南門,313.006666667,767.293333333,531.185714286,280.019047619,-0.420518991638,0.309621785352,8978.19047619,9357.38095238,4589.33333333,4908.66666667,-0.0206805922394,-0.0336211132168,9167.78571429,4749.0,0.952544460698,470529.0
頂溪,3143.86,939.4,1187.58571429,3123.19047619,0.53987745086,-0.449015369014,35275.4761905,36705.047619,30561.6666667,30371.3333333,-0.0198605310564,0.00312364947292,35990.2619048,30466.5,0.249354395841,2059988.0
永安市場,2403.34666667,609.386666667,839.0,2320.46190476,0.595459272864,-0.468896903783,26395.6190476,26759.2857143,22062.4444444,21715.3333333,-0.00684163894744,0.00792893401015,26577.452381,21888.8888889,0.290215644665,1510253.0
景安,2399.46666667,649.106666667,755.823809524,2152.28571429,0.574157092061,-0.480195774378,25508.7142857,25036.2380952,20672.1111111,19432.0,0.00934764339899,0.0309222939183,25272.4761905,20052.0555556,0.345536099358,1422381.0
南勢角,2078.69333333,456.08,576.971428571,1899.79047619,0.640141393313,-0.534092132585,21377.4285714,20817.1904762,18289.0,17813.8888889,0.013277477268,0.0131599194894,21097.3095238,18051.4444444,0.233407051614,1211013.0
台大醫院,702.64,2295.42666667,1437.49047619,503.123809524,-0.531271263703,0.481479845606,23405.047619,24942.952381,13049.7777778,13761.4444444,-0.0318090668053,-0.026543611506,24174.0,13405.6111111,0.859646114249,1256609.0
台北車站,7356.6,8235.93333333,10162.5761905,8957.38571429,-0.0563945136134,0.0630331002851,147544.47619,146165.095238,169921.0,175202.666667,0.00469641130751,-0.0153036930723,146854.785714,172561.833333,-0.241443739174,9274014.0
中山,942.233333333,2269.56666667,3015.54761905,1946.17619048,-0.413267741869,0.215524174586,36517.2857143,37619.0952381,38142.3333333,40519.8888889,-0.0148619275672,-0.0302248714617,37068.1904762,39331.1111111,-0.0888589524212,2264824.0
雙連,925.573333333,1731.07333333,1344.3952381,958.214285714,-0.303201780691,0.167714477156,21672.3333333,23307.6666667,17068.7777778,17988.0,-0.0363568993627,-0.0262209558462,22490.0,17528.3888889,0.371949839726,1260091.0
民權西路,1058.62,1709.08,1681.05714286,1071.34285714,-0.235018246197,0.221520958332,25300.1904762,23859.9047619,19443.7777778,17715.3333333,0.0292978625715,0.0465146875897,24580.047619,18579.5555556,0.417090864289,1366794.0
圓山,1645.15333333,1669.78,1550.58095238,1528.9047619,-0.00742900812485,0.00703889950703,26701.0,26838.047619,29828.3333333,29467.1111111,-0.00255976946065,0.00609190513043,26769.5238095,29647.7222222,-0.153048860861,1657979.0
